alert_id,rule_id,title,severity,confidence,tactic,technique,source_log,entity_id,asset_id,event_ids,evidence,detected_at,recommended_response
alert_00001,rule_impossible_travel_login,Impossible Travel Login,high,0.92,Initial Access,Valid Accounts,identity_auth_logs,user_0002,endpoint_0002,attack_evt_0001,Synthetic injected scenario for impossible travel login.,2026-01-02T02:40:00+00:00,Disable session and verify user travel.
alert_00002,rule_password_spray_attack,Password Spray Attack,high,0.92,Credential Access,Password Spraying,identity_auth_logs,user_0003,endpoint_0003,attack_evt_0002,Synthetic injected scenario for password spray attack.,2026-01-02T02:41:00+00:00,Block source pattern and reset targeted passwords.
alert_00003,rule_brute_force_against_privileged_user,Brute Force Against Privileged User,critical,0.92,Credential Access,Brute Force,identity_auth_logs,user_0004,endpoint_0004,attack_evt_0003,Synthetic injected scenario for brute force against privileged user.,2026-01-02T02:42:00+00:00,Lock privileged account and rotate credentials.
alert_00004,rule_suspicious_mfa_fatigue,Suspicious Mfa Fatigue,high,0.92,Credential Access,MFA Fatigue,identity_auth_logs,user_0005,endpoint_0005,attack_evt_0004,Synthetic injected scenario for suspicious mfa fatigue.,2026-01-02T02:43:00+00:00,Revoke sessions and require phishing-resistant MFA.
alert_00005,rule_privilege_escalation_cloud_role,Privilege Escalation Cloud Role,critical,0.92,Privilege Escalation,Cloud Role Modification,cloud_access_logs,user_0006,endpoint_0006,attack_evt_0005,Synthetic injected scenario for privilege escalation cloud role.,2026-01-02T02:44:00+00:00,Revert role change and review cloud audit trail.
alert_00006,rule_suspicious_service_account_access,Suspicious Service Account Access,high,0.92,Defense Evasion,Service Account Abuse,cloud_access_logs,user_0007,endpoint_0007,attack_evt_0006,Synthetic injected scenario for suspicious service account access.,2026-01-02T02:45:00+00:00,Rotate service account key and validate workload identity.
alert_00007,rule_data_exfiltration_large_download,Data Exfiltration Large Download,critical,0.92,Exfiltration,Exfiltration Over Web Service,network_flow_logs,user_0008,endpoint_0008,attack_evt_0007,Synthetic injected scenario for data exfiltration large download.,2026-01-02T02:46:00+00:00,Contain data system and inspect transfer path.
alert_00008,rule_suspicious_oauth_consent,Suspicious Oauth Consent,medium,0.82,Persistence,OAuth Consent Grant,saas_audit_logs,user_0009,endpoint_0009,attack_evt_0008,Synthetic injected scenario for suspicious oauth consent.,2026-01-02T02:47:00+00:00,Revoke OAuth grant and review app permissions.
alert_00009,rule_phishing_email_click,Phishing Email Click,high,0.92,Initial Access,Phishing,email_security_logs,user_0010,endpoint_0010,attack_evt_0009,Synthetic injected scenario for phishing email click.,2026-01-02T02:48:00+00:00,Quarantine message and reset clicked user session.
alert_00010,rule_endpoint_malware_execution,Endpoint Malware Execution,critical,0.92,Execution,Command and Scripting Interpreter,endpoint_events,user_0011,endpoint_0011,attack_evt_0010,Synthetic injected scenario for endpoint malware execution.,2026-01-02T02:49:00+00:00,Isolate endpoint and collect process evidence.
alert_00011,rule_ransomware_precursor_behavior,Ransomware Precursor Behavior,critical,0.92,Impact,Data Encrypted for Impact,endpoint_events,user_0012,endpoint_0012,attack_evt_0011,Synthetic injected scenario for ransomware precursor behavior.,2026-01-02T02:50:00+00:00,Isolate endpoint and suspend file share access.
alert_00012,rule_dns_beaconing,Dns Beaconing,high,0.92,Command and Control,Application Layer Protocol,dns_logs,user_0013,endpoint_0013,attack_evt_0012,Synthetic injected scenario for dns beaconing.,2026-01-02T02:51:00+00:00,Block domain and inspect endpoint.
alert_00013,rule_ai_prompt_injection_attempt,Ai Prompt Injection Attempt,high,0.92,Defense Evasion,Prompt Injection,ai_app_security_logs,user_0014,endpoint_0014,attack_evt_0013,Synthetic injected scenario for ai prompt injection attempt.,2026-01-02T02:52:00+00:00,Block tool call and create AI app incident.
alert_00014,rule_ai_sensitive_data_request,Ai Sensitive Data Request,high,0.92,Collection,Data from Information Repositories,ai_app_security_logs,user_0015,endpoint_0015,attack_evt_0014,Synthetic injected scenario for ai sensitive data request.,2026-01-02T02:53:00+00:00,Deny response and review data access policy.
alert_00015,rule_insider_sensitive_data_access,Insider Sensitive Data Access,critical,0.92,Collection,Data from Local System,saas_audit_logs,user_0016,endpoint_0016,attack_evt_0015,Synthetic injected scenario for insider sensitive data access.,2026-01-02T02:54:00+00:00,Escalate to insider risk team.
alert_00016,rule_cloud_key_exposure,Cloud Key Exposure,critical,0.92,Credential Access,Unsecured Credentials,cloud_access_logs,user_0017,endpoint_0017,attack_evt_0016,Synthetic injected scenario for cloud key exposure.,2026-01-02T02:55:00+00:00,Revoke key and rotate affected secrets.
alert_00017,rule_lateral_movement_sequence,Lateral Movement Sequence,critical,0.92,Lateral Movement,Remote Services,endpoint_events,user_0018,endpoint_0018,attack_evt_0017,Synthetic injected scenario for lateral movement sequence.,2026-01-02T02:56:00+00:00,Isolate hosts and disable lateral credentials.
alert_00018,rule_c2_network_pattern,C2 Network Pattern,high,0.92,Command and Control,Non-Standard Port,network_flow_logs,user_0019,endpoint_0019,attack_evt_0018,Synthetic injected scenario for c2 network pattern.,2026-01-02T02:57:00+00:00,Block destination and inspect host.
alert_00019,rule_mass_file_sharing_public_link,Mass File Sharing Public Link,high,0.92,Exfiltration,Cloud Storage Object Discovery,saas_audit_logs,user_0020,endpoint_0020,attack_evt_0019,Synthetic injected scenario for mass file sharing public link.,2026-01-02T02:58:00+00:00,Remove public links and review SaaS sharing.
alert_00020,rule_dormant_account_reactivation,Dormant Account Reactivation,medium,0.82,Initial Access,Dormant Account,identity_auth_logs,user_0021,endpoint_0021,attack_evt_0020,Synthetic injected scenario for dormant account reactivation.,2026-01-02T02:59:00+00:00,Disable dormant account pending owner review.
alert_dup_00001,rule_impossible_travel_login,Impossible Travel Login,high,0.92,Initial Access,Valid Accounts,identity_auth_logs,user_0002,endpoint_0002,attack_evt_0001,Synthetic injected scenario for impossible travel login.,2026-01-02T02:40:00+00:00,Disable session and verify user travel.
alert_dup_00002,rule_password_spray_attack,Password Spray Attack,high,0.92,Credential Access,Password Spraying,identity_auth_logs,user_0003,endpoint_0003,attack_evt_0002,Synthetic injected scenario for password spray attack.,2026-01-02T02:41:00+00:00,Block source pattern and reset targeted passwords.
alert_dup_00003,rule_brute_force_against_privileged_user,Brute Force Against Privileged User,critical,0.92,Credential Access,Brute Force,identity_auth_logs,user_0004,endpoint_0004,attack_evt_0003,Synthetic injected scenario for brute force against privileged user.,2026-01-02T02:42:00+00:00,Lock privileged account and rotate credentials.
