rule_id,title,description,log_source,detection_logic,severity,tactic,technique,false_positive_notes,recommended_response
rule_impossible_travel_login,Impossible Travel Login,Detects synthetic impossible travel login activity.,identity_auth_logs,scenario_type == 'impossible_travel_login' or source-specific threshold pattern,high,Initial Access,Valid Accounts,Synthetic benign admin activity can resemble this pattern.,Disable session and verify user travel.
rule_password_spray_attack,Password Spray Attack,Detects synthetic password spray attack activity.,identity_auth_logs,scenario_type == 'password_spray_attack' or source-specific threshold pattern,high,Credential Access,Password Spraying,Synthetic benign admin activity can resemble this pattern.,Block source pattern and reset targeted passwords.
rule_brute_force_against_privileged_user,Brute Force Against Privileged User,Detects synthetic brute force against privileged user activity.,identity_auth_logs,scenario_type == 'brute_force_against_privileged_user' or source-specific threshold pattern,critical,Credential Access,Brute Force,Synthetic benign admin activity can resemble this pattern.,Lock privileged account and rotate credentials.
rule_suspicious_mfa_fatigue,Suspicious Mfa Fatigue,Detects synthetic suspicious mfa fatigue activity.,identity_auth_logs,scenario_type == 'suspicious_mfa_fatigue' or source-specific threshold pattern,high,Credential Access,MFA Fatigue,Synthetic benign admin activity can resemble this pattern.,Revoke sessions and require phishing-resistant MFA.
rule_privilege_escalation_cloud_role,Privilege Escalation Cloud Role,Detects synthetic privilege escalation cloud role activity.,cloud_access_logs,scenario_type == 'privilege_escalation_cloud_role' or source-specific threshold pattern,critical,Privilege Escalation,Cloud Role Modification,Synthetic benign admin activity can resemble this pattern.,Revert role change and review cloud audit trail.
rule_suspicious_service_account_access,Suspicious Service Account Access,Detects synthetic suspicious service account access activity.,cloud_access_logs,scenario_type == 'suspicious_service_account_access' or source-specific threshold pattern,high,Defense Evasion,Service Account Abuse,Synthetic benign admin activity can resemble this pattern.,Rotate service account key and validate workload identity.
rule_data_exfiltration_large_download,Data Exfiltration Large Download,Detects synthetic data exfiltration large download activity.,network_flow_logs,scenario_type == 'data_exfiltration_large_download' or source-specific threshold pattern,critical,Exfiltration,Exfiltration Over Web Service,Synthetic benign admin activity can resemble this pattern.,Contain data system and inspect transfer path.
rule_suspicious_oauth_consent,Suspicious Oauth Consent,Detects synthetic suspicious oauth consent activity.,saas_audit_logs,scenario_type == 'suspicious_oauth_consent' or source-specific threshold pattern,medium,Persistence,OAuth Consent Grant,Synthetic benign admin activity can resemble this pattern.,Revoke OAuth grant and review app permissions.
rule_phishing_email_click,Phishing Email Click,Detects synthetic phishing email click activity.,email_security_logs,scenario_type == 'phishing_email_click' or source-specific threshold pattern,high,Initial Access,Phishing,Synthetic benign admin activity can resemble this pattern.,Quarantine message and reset clicked user session.
rule_endpoint_malware_execution,Endpoint Malware Execution,Detects synthetic endpoint malware execution activity.,endpoint_events,scenario_type == 'endpoint_malware_execution' or source-specific threshold pattern,critical,Execution,Command and Scripting Interpreter,Synthetic benign admin activity can resemble this pattern.,Isolate endpoint and collect process evidence.
rule_ransomware_precursor_behavior,Ransomware Precursor Behavior,Detects synthetic ransomware precursor behavior activity.,endpoint_events,scenario_type == 'ransomware_precursor_behavior' or source-specific threshold pattern,critical,Impact,Data Encrypted for Impact,Synthetic benign admin activity can resemble this pattern.,Isolate endpoint and suspend file share access.
rule_dns_beaconing,Dns Beaconing,Detects synthetic dns beaconing activity.,dns_logs,scenario_type == 'dns_beaconing' or source-specific threshold pattern,high,Command and Control,Application Layer Protocol,Synthetic benign admin activity can resemble this pattern.,Block domain and inspect endpoint.
rule_ai_prompt_injection_attempt,Ai Prompt Injection Attempt,Detects synthetic ai prompt injection attempt activity.,ai_app_security_logs,scenario_type == 'ai_prompt_injection_attempt' or source-specific threshold pattern,high,Defense Evasion,Prompt Injection,Synthetic benign admin activity can resemble this pattern.,Block tool call and create AI app incident.
rule_ai_sensitive_data_request,Ai Sensitive Data Request,Detects synthetic ai sensitive data request activity.,ai_app_security_logs,scenario_type == 'ai_sensitive_data_request' or source-specific threshold pattern,high,Collection,Data from Information Repositories,Synthetic benign admin activity can resemble this pattern.,Deny response and review data access policy.
rule_insider_sensitive_data_access,Insider Sensitive Data Access,Detects synthetic insider sensitive data access activity.,saas_audit_logs,scenario_type == 'insider_sensitive_data_access' or source-specific threshold pattern,critical,Collection,Data from Local System,Synthetic benign admin activity can resemble this pattern.,Escalate to insider risk team.
rule_cloud_key_exposure,Cloud Key Exposure,Detects synthetic cloud key exposure activity.,cloud_access_logs,scenario_type == 'cloud_key_exposure' or source-specific threshold pattern,critical,Credential Access,Unsecured Credentials,Synthetic benign admin activity can resemble this pattern.,Revoke key and rotate affected secrets.
rule_lateral_movement_sequence,Lateral Movement Sequence,Detects synthetic lateral movement sequence activity.,endpoint_events,scenario_type == 'lateral_movement_sequence' or source-specific threshold pattern,critical,Lateral Movement,Remote Services,Synthetic benign admin activity can resemble this pattern.,Isolate hosts and disable lateral credentials.
rule_c2_network_pattern,C2 Network Pattern,Detects synthetic c2 network pattern activity.,network_flow_logs,scenario_type == 'c2_network_pattern' or source-specific threshold pattern,high,Command and Control,Non-Standard Port,Synthetic benign admin activity can resemble this pattern.,Block destination and inspect host.
rule_mass_file_sharing_public_link,Mass File Sharing Public Link,Detects synthetic mass file sharing public link activity.,saas_audit_logs,scenario_type == 'mass_file_sharing_public_link' or source-specific threshold pattern,high,Exfiltration,Cloud Storage Object Discovery,Synthetic benign admin activity can resemble this pattern.,Remove public links and review SaaS sharing.
rule_dormant_account_reactivation,Dormant Account Reactivation,Detects synthetic dormant account reactivation activity.,identity_auth_logs,scenario_type == 'dormant_account_reactivation' or source-specific threshold pattern,medium,Initial Access,Dormant Account,Synthetic benign admin activity can resemble this pattern.,Disable dormant account pending owner review.
