rule_id,title,log_source,tactic,technique,severity,covered
rule_impossible_travel_login,Impossible Travel Login,identity_auth_logs,Initial Access,Valid Accounts,high,True
rule_password_spray_attack,Password Spray Attack,identity_auth_logs,Credential Access,Password Spraying,high,True
rule_brute_force_against_privileged_user,Brute Force Against Privileged User,identity_auth_logs,Credential Access,Brute Force,critical,True
rule_suspicious_mfa_fatigue,Suspicious Mfa Fatigue,identity_auth_logs,Credential Access,MFA Fatigue,high,True
rule_privilege_escalation_cloud_role,Privilege Escalation Cloud Role,cloud_access_logs,Privilege Escalation,Cloud Role Modification,critical,True
rule_suspicious_service_account_access,Suspicious Service Account Access,cloud_access_logs,Defense Evasion,Service Account Abuse,high,True
rule_data_exfiltration_large_download,Data Exfiltration Large Download,network_flow_logs,Exfiltration,Exfiltration Over Web Service,critical,True
rule_suspicious_oauth_consent,Suspicious Oauth Consent,saas_audit_logs,Persistence,OAuth Consent Grant,medium,True
rule_phishing_email_click,Phishing Email Click,email_security_logs,Initial Access,Phishing,high,True
rule_endpoint_malware_execution,Endpoint Malware Execution,endpoint_events,Execution,Command and Scripting Interpreter,critical,True
rule_ransomware_precursor_behavior,Ransomware Precursor Behavior,endpoint_events,Impact,Data Encrypted for Impact,critical,True
rule_dns_beaconing,Dns Beaconing,dns_logs,Command and Control,Application Layer Protocol,high,True
rule_ai_prompt_injection_attempt,Ai Prompt Injection Attempt,ai_app_security_logs,Defense Evasion,Prompt Injection,high,True
rule_ai_sensitive_data_request,Ai Sensitive Data Request,ai_app_security_logs,Collection,Data from Information Repositories,high,True
rule_insider_sensitive_data_access,Insider Sensitive Data Access,saas_audit_logs,Collection,Data from Local System,critical,True
rule_cloud_key_exposure,Cloud Key Exposure,cloud_access_logs,Credential Access,Unsecured Credentials,critical,True
rule_lateral_movement_sequence,Lateral Movement Sequence,endpoint_events,Lateral Movement,Remote Services,critical,True
rule_c2_network_pattern,C2 Network Pattern,network_flow_logs,Command and Control,Non-Standard Port,high,True
rule_mass_file_sharing_public_link,Mass File Sharing Public Link,saas_audit_logs,Exfiltration,Cloud Storage Object Discovery,high,True
rule_dormant_account_reactivation,Dormant Account Reactivation,identity_auth_logs,Initial Access,Dormant Account,medium,True
