evidence_id,incident_id,alert_id,event_id,evidence_type,evidence_summary,source_file,confidence
evidence_00001,incident_00011,alert_00011,event_00011,detection_match,Detection evidence for ransomware_precursor_behavior.,data/alerts/security_alerts.csv,0.92
evidence_00002,incident_00003,alert_00003,event_00003,detection_match,Detection evidence for brute_force_against_privileged_user.,data/alerts/security_alerts.csv,0.92
evidence_00003,incident_00005,alert_00005,event_00005,detection_match,Detection evidence for privilege_escalation_cloud_role.,data/alerts/security_alerts.csv,0.92
evidence_00004,incident_00007,alert_00007,event_00007,detection_match,Detection evidence for data_exfiltration_large_download.,data/alerts/security_alerts.csv,0.92
evidence_00005,incident_00017,alert_00017,event_00017,detection_match,Detection evidence for lateral_movement_sequence.,data/alerts/security_alerts.csv,0.92
evidence_00006,incident_00016,alert_00016,event_00016,detection_match,Detection evidence for cloud_key_exposure.,data/alerts/security_alerts.csv,0.92
evidence_00007,incident_00010,alert_00010,event_00010,detection_match,Detection evidence for endpoint_malware_execution.,data/alerts/security_alerts.csv,0.92
evidence_00008,incident_00015,alert_00015,event_00015,detection_match,Detection evidence for insider_sensitive_data_access.,data/alerts/security_alerts.csv,0.92
evidence_00009,incident_00013,alert_00013,event_00013,detection_match,Detection evidence for ai_prompt_injection_attempt.,data/alerts/security_alerts.csv,0.92
evidence_00010,incident_00019,alert_00019,event_00019,detection_match,Detection evidence for mass_file_sharing_public_link.,data/alerts/security_alerts.csv,0.92
evidence_00011,incident_00018,alert_00018,event_00018,detection_match,Detection evidence for c2_network_pattern.,data/alerts/security_alerts.csv,0.92
evidence_00012,incident_00014,alert_00014,event_00014,detection_match,Detection evidence for ai_sensitive_data_request.,data/alerts/security_alerts.csv,0.92
evidence_00013,incident_00001,alert_00001,event_00001,detection_match,Detection evidence for impossible_travel_login.,data/alerts/security_alerts.csv,0.92
evidence_00014,incident_00012,alert_00012,event_00012,detection_match,Detection evidence for dns_beaconing.,data/alerts/security_alerts.csv,0.92
evidence_00015,incident_00002,alert_00002,event_00002,detection_match,Detection evidence for password_spray_attack.,data/alerts/security_alerts.csv,0.92
evidence_00016,incident_00009,alert_00009,event_00009,detection_match,Detection evidence for phishing_email_click.,data/alerts/security_alerts.csv,0.92
evidence_00017,incident_00006,alert_00006,event_00006,detection_match,Detection evidence for suspicious_service_account_access.,data/alerts/security_alerts.csv,0.92
evidence_00018,incident_00004,alert_00004,event_00004,detection_match,Detection evidence for suspicious_mfa_fatigue.,data/alerts/security_alerts.csv,0.92
evidence_00019,incident_00008,alert_00008,event_00008,detection_match,Detection evidence for suspicious_oauth_consent.,data/alerts/security_alerts.csv,0.82
evidence_00020,incident_00020,alert_00020,event_00020,detection_match,Detection evidence for dormant_account_reactivation.,data/alerts/security_alerts.csv,0.82
