scenario_id,scenario_type,expected_detection_ids,expected_tactic,expected_technique,involved_users,involved_assets,event_ids,expected_severity,expected_response,description
scenario_001,impossible_travel_login,rule_impossible_travel_login,Initial Access,Valid Accounts,user_0002,endpoint_0002,attack_evt_0001,high,Disable session and verify user travel.,Synthetic injected scenario for impossible travel login.
scenario_002,password_spray_attack,rule_password_spray_attack,Credential Access,Password Spraying,user_0003,endpoint_0003,attack_evt_0002,high,Block source pattern and reset targeted passwords.,Synthetic injected scenario for password spray attack.
scenario_003,brute_force_against_privileged_user,rule_brute_force_against_privileged_user,Credential Access,Brute Force,user_0004,endpoint_0004,attack_evt_0003,critical,Lock privileged account and rotate credentials.,Synthetic injected scenario for brute force against privileged user.
scenario_004,suspicious_mfa_fatigue,rule_suspicious_mfa_fatigue,Credential Access,MFA Fatigue,user_0005,endpoint_0005,attack_evt_0004,high,Revoke sessions and require phishing-resistant MFA.,Synthetic injected scenario for suspicious mfa fatigue.
scenario_005,privilege_escalation_cloud_role,rule_privilege_escalation_cloud_role,Privilege Escalation,Cloud Role Modification,user_0006,endpoint_0006,attack_evt_0005,critical,Revert role change and review cloud audit trail.,Synthetic injected scenario for privilege escalation cloud role.
scenario_006,suspicious_service_account_access,rule_suspicious_service_account_access,Defense Evasion,Service Account Abuse,user_0007,endpoint_0007,attack_evt_0006,high,Rotate service account key and validate workload identity.,Synthetic injected scenario for suspicious service account access.
scenario_007,data_exfiltration_large_download,rule_data_exfiltration_large_download,Exfiltration,Exfiltration Over Web Service,user_0008,endpoint_0008,attack_evt_0007,critical,Contain data system and inspect transfer path.,Synthetic injected scenario for data exfiltration large download.
scenario_008,suspicious_oauth_consent,rule_suspicious_oauth_consent,Persistence,OAuth Consent Grant,user_0009,endpoint_0009,attack_evt_0008,medium,Revoke OAuth grant and review app permissions.,Synthetic injected scenario for suspicious oauth consent.
scenario_009,phishing_email_click,rule_phishing_email_click,Initial Access,Phishing,user_0010,endpoint_0010,attack_evt_0009,high,Quarantine message and reset clicked user session.,Synthetic injected scenario for phishing email click.
scenario_010,endpoint_malware_execution,rule_endpoint_malware_execution,Execution,Command and Scripting Interpreter,user_0011,endpoint_0011,attack_evt_0010,critical,Isolate endpoint and collect process evidence.,Synthetic injected scenario for endpoint malware execution.
scenario_011,ransomware_precursor_behavior,rule_ransomware_precursor_behavior,Impact,Data Encrypted for Impact,user_0012,endpoint_0012,attack_evt_0011,critical,Isolate endpoint and suspend file share access.,Synthetic injected scenario for ransomware precursor behavior.
scenario_012,dns_beaconing,rule_dns_beaconing,Command and Control,Application Layer Protocol,user_0013,endpoint_0013,attack_evt_0012,high,Block domain and inspect endpoint.,Synthetic injected scenario for dns beaconing.
scenario_013,ai_prompt_injection_attempt,rule_ai_prompt_injection_attempt,Defense Evasion,Prompt Injection,user_0014,endpoint_0014,attack_evt_0013,high,Block tool call and create AI app incident.,Synthetic injected scenario for ai prompt injection attempt.
scenario_014,ai_sensitive_data_request,rule_ai_sensitive_data_request,Collection,Data from Information Repositories,user_0015,endpoint_0015,attack_evt_0014,high,Deny response and review data access policy.,Synthetic injected scenario for ai sensitive data request.
scenario_015,insider_sensitive_data_access,rule_insider_sensitive_data_access,Collection,Data from Local System,user_0016,endpoint_0016,attack_evt_0015,critical,Escalate to insider risk team.,Synthetic injected scenario for insider sensitive data access.
scenario_016,cloud_key_exposure,rule_cloud_key_exposure,Credential Access,Unsecured Credentials,user_0017,endpoint_0017,attack_evt_0016,critical,Revoke key and rotate affected secrets.,Synthetic injected scenario for cloud key exposure.
scenario_017,lateral_movement_sequence,rule_lateral_movement_sequence,Lateral Movement,Remote Services,user_0018,endpoint_0018,attack_evt_0017,critical,Isolate hosts and disable lateral credentials.,Synthetic injected scenario for lateral movement sequence.
scenario_018,c2_network_pattern,rule_c2_network_pattern,Command and Control,Non-Standard Port,user_0019,endpoint_0019,attack_evt_0018,high,Block destination and inspect host.,Synthetic injected scenario for c2 network pattern.
scenario_019,mass_file_sharing_public_link,rule_mass_file_sharing_public_link,Exfiltration,Cloud Storage Object Discovery,user_0020,endpoint_0020,attack_evt_0019,high,Remove public links and review SaaS sharing.,Synthetic injected scenario for mass file sharing public link.
scenario_020,dormant_account_reactivation,rule_dormant_account_reactivation,Initial Access,Dormant Account,user_0021,endpoint_0021,attack_evt_0020,medium,Disable dormant account pending owner review.,Synthetic injected scenario for dormant account reactivation.
