scenario_id,scenario_type,expected_detection_ids,expected_tactic,expected_technique,expected_severity
scenario_001,impossible_travel_login,rule_impossible_travel_login,Initial Access,Valid Accounts,high
scenario_002,password_spray_attack,rule_password_spray_attack,Credential Access,Password Spraying,high
scenario_003,brute_force_against_privileged_user,rule_brute_force_against_privileged_user,Credential Access,Brute Force,critical
scenario_004,suspicious_mfa_fatigue,rule_suspicious_mfa_fatigue,Credential Access,MFA Fatigue,high
scenario_005,privilege_escalation_cloud_role,rule_privilege_escalation_cloud_role,Privilege Escalation,Cloud Role Modification,critical
scenario_006,suspicious_service_account_access,rule_suspicious_service_account_access,Defense Evasion,Service Account Abuse,high
scenario_007,data_exfiltration_large_download,rule_data_exfiltration_large_download,Exfiltration,Exfiltration Over Web Service,critical
scenario_008,suspicious_oauth_consent,rule_suspicious_oauth_consent,Persistence,OAuth Consent Grant,medium
scenario_009,phishing_email_click,rule_phishing_email_click,Initial Access,Phishing,high
scenario_010,endpoint_malware_execution,rule_endpoint_malware_execution,Execution,Command and Scripting Interpreter,critical
scenario_011,ransomware_precursor_behavior,rule_ransomware_precursor_behavior,Impact,Data Encrypted for Impact,critical
scenario_012,dns_beaconing,rule_dns_beaconing,Command and Control,Application Layer Protocol,high
scenario_013,ai_prompt_injection_attempt,rule_ai_prompt_injection_attempt,Defense Evasion,Prompt Injection,high
scenario_014,ai_sensitive_data_request,rule_ai_sensitive_data_request,Collection,Data from Information Repositories,high
scenario_015,insider_sensitive_data_access,rule_insider_sensitive_data_access,Collection,Data from Local System,critical
scenario_016,cloud_key_exposure,rule_cloud_key_exposure,Credential Access,Unsecured Credentials,critical
scenario_017,lateral_movement_sequence,rule_lateral_movement_sequence,Lateral Movement,Remote Services,critical
scenario_018,c2_network_pattern,rule_c2_network_pattern,Command and Control,Non-Standard Port,high
scenario_019,mass_file_sharing_public_link,rule_mass_file_sharing_public_link,Exfiltration,Cloud Storage Object Discovery,high
scenario_020,dormant_account_reactivation,rule_dormant_account_reactivation,Initial Access,Dormant Account,medium
